index,adress,arrondissement,date,school,lat,long
1,0,19,2014-11-17T20:00:00-05:00,Non,48.89567954,2.374509829
2,0,10,2008-03-24T21:00:00-04:00,Non,48.87728641,2.369974773
3,0,13,2006-07-06T22:00:00-04:00,Non,48.83484926,2.377050382
4,0,20,2015-03-02T20:00:00-05:00,Non,48.85250214,2.406448748
5,Rue Bretonneau,20,2020-09-14T20:00:00-04:00,Oui,48.8676677,2.403215166
6,Rue de Tourtille,20,2020-09-14T22:00:00-04:00,Oui,48.87232741,2.38031996
7,,4,2020-08-27T22:00:00-04:00,Non,48.85410702,2.35994918
8,,15,2020-08-27T22:00:00-04:00,Oui,48.84233197,2.27956682
9,0,14,2019-03-11T21:00:00-04:00,Non,48.82595784,2.305283217
10,Passage Beslay,11,,Non,48.86309238,2.373518475
11,0,19,,Non,48.87295542,2.377066424
12,0,18,2006-06-12T22:00:00-04:00,Non,48.88405574,2.343430721
13,,5,2020-09-03T22:00:00-04:00,Oui,48.83834686,2.346676337
14,Impasse des Bourdonnais,1,2021-07-05T20:00:00-04:00,Non,48.86049432,2.345162232
15,0,18,2019-04-29T22:00:00-04:00,Non,48.89530806,2.365027907
16,Rue Androuet,18,2021-07-05T20:00:00-04:00,Non,48.88575222,2.33852154
17,Rue Cavé,18,2021-03-29T20:00:00-04:00,Non,48.88666703,2.353132389
18,Allée Irène Némirovsky,15,,Non,48.84162065,2.283592577
19,0,19,,Non,48.8861286,2.380532196
20,0,4,,Non,48.85706542,2.357849313
21,Passage du Montenegro,19,,Non,48.87685144,2.400943193
22,,1,2019-02-11T20:00:00-05:00,Non,48.86037961,2.346152623
23,0,9,2008-01-14T20:00:00-05:00,Non,48.87492773,2.342992888
24,0,9,2007-01-22T20:00:00-05:00,Non,48.87306765,2.347363078
25,0,18,2005-06-09T22:00:00-04:00,Non,48.89496604,2.348707435
26,,4,2020-10-08T20:00:00-04:00,Non,48.85404225,2.363507237
27,,17,2021-03-08T19:00:00-05:00,Oui,48.89214998,2.325463914
28,,17,2021-03-08T19:00:00-05:00,Oui,48.8863401,2.302976864
29,,16,2020-08-27T22:00:00-04:00,Oui,48.85584385,2.274151305
30,Rue Francis de Miomandre,13,2022-05-19T22:00:00-04:00,Non,48.81807775,2.347731418
31,Rue Louise-Emilie de la Tour d'Auvergne,9,2022-05-26T22:00:00-04:00,Oui,48.87981196,2.340759033
32,Rue Geoffroy l'Asnier,4,2021-11-18T20:00:00-05:00,Oui,48.85495882,2.356622835
33,0,19,2017-06-29T22:00:00-04:00,Non,48.89819377,2.373200576
34,0,14,2009-12-10T20:00:00-05:00,Non,48.83552258,2.317839994
35,0,6,2009-12-10T20:00:00-05:00,Non,48.85299389,2.334014162
36,0,4,,Non,48.85400158,2.361768252
