index,lat,long,arrondissement,location,circumference_cm,hauteur_m,stade_dev,type,adress,place_plantded,qualification,description
2,48.8735408,2.290450185,16,JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH,174,8,A,Savonnier,Avenue Foch,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Originaire du nord de la Chine et appartenant à la famille des Sapindacées
3,48.87858282,2.307559794,8,PARC MONCEAU,645,31,M,Platane,Parc Monceau,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage. C'est l'un des plus anciens platanes de Paris.,Originaire d’Asie Mineure
4,48.84650062,2.252267168,16,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,211,22,A,Tulipier,Jardin des Serres d'Auteuil,Jardin,Cet arbre est classé remarquable pour sa silhouette pyramidale et son empreinte dans le paysage.,Originaire des États-Unis
5,48.87264176,2.281364053,16,JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH,426,26,M,Orme de Sibérie,Avenue Foch,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Originaire du Caucase et du nord de l’Iran
6,48.88460843,2.343916252,18,SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE,520,28,M,Platane,Square Louise Michel,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le platane d’Orient est une essence de la famille des Platanacées originaire d’Asie Mineure. Cet arbre majestueux exprime de manière fidèle les qualités ornementales et esthétiques de l’essence. Cette espèce se caractérise notamment par une écorce épaisse et rugueuse qui s’accumule sur le tronc et les branches
7,48.85783876,2.293318745,7,JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / SETE,695,25,M,Platane,Jardin du Champ de Mars,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Essence typique de la famille des Platanacées
8,48.83634112,2.290209487,15,SQUARE DU CLOS FEUQUIERES,140,11,A,Hêtre,Square du Clos Feuquières,Jardin,Ces arbres sont classés remarquable pour leur ampleur et leur empreinte dans le paysage.,Essence typique de la famille des Fagacées
9,48.8633928,2.39684654,20,CIMETIERE DU PERE LACHAISE / DIV 84,165,20,A,Arbre aux quarante écus,Cimetière du Père Lachaise,Cimetière,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le ginkgo est une essence originaire de Chine appartenant à la famille des Ginkgoacées. Des restes fossilisés ont permis d'établir que le genre Gingko est apparu au début du jurassique
10,48.87279632,2.287540631,16,JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH,204,14,M,Noisetier de Byzance,Avenue Foch,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le noisetier de Byzance est une essence originaire d’Asie Mineure et d’Europe appartenant à la famille des Bétulacées. Contraint par l'ombrage de son arbre voisin
11,48.85780391,2.395740786,20,CIMETIERE DU PERE LACHAISE / DIV 75,130,14,A,Arbre à Gutta-Percha,Cimetière du Père Lachaise,Cimetière,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Essence originaire de Chine
12,48.85135747,2.325131904,7,SQUARE BOUCICAUT / 1 RUE DE BABYLONE,147,10,A,Lilas de Perse,Square Boucicaut,Jardin,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Cette essence
13,48.87870299,2.306474175,8,PARC MONCEAU,427,28,M,Erable,Parc Monceau,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Les érables appartiennent à la famille des Sapindacées. Le genre Acer comprend 120 espèces réparties en majorité dans les régions tempérées de l'hémisphère Nord. Donné par le naturaliste suédois Carl von Linné
14,48.84590426,2.253026767,16,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,175,10,A,Pistachier,Jardin des Serres d'Auteuil,Jardin,Cet arbre est classé remarquable pour sa rareté botanique et son ampleur.,Le Pistachier térébinthe appartient à la famille des Anacardiacées et pousse de manière commune dans le bassin méditerranéen. Fabriquée à l’origine avec sa sève
15,48.89462285,2.326852373,17,SQUARE DES EPINETTES,253,18,A,Tulipier,Square des Epinettes,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Originaire des Etats-Unis
16,48.86080963,2.391843781,20,CIMETIERE DU PERE LACHAISE / DIV 4,390,25,M,Cèdre,Cimetière du Père Lachaise,Cimetière,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Originaire du Moyen-Orient
17,48.88768825,2.316459208,17,SQUARE DES BATIGNOLLES,604,34,M,Platane,Square des Batignolles,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le platane commun est une espèce de la famille des Platanacées. Ce platane a été planté en 1840. Ici
18,48.88581442,2.330115611,18,CIMETIERE DE MONTMARTRE / DIV 14,299,13,M,If,Cimetière de Montmartre,Cimetière,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,L’if est une essence appartenant à la famille des Taxacées. Conifère à croissance extrêmement lente
19,48.86503551,2.400931755,20,SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA,380,26,M,Marronnier,Square Édouard Vaillant,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Originaire d’Asie Mineure et des Balkans
20,48.84264132,2.296091104,15,SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE,290,18,A,Micocoulier,Square Saint Lambert,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Appartenant à la famille des Cannabacées
21,48.85235485,2.35180992,4,SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE,230,3,M,Tamaris,Square Jean XXIII,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le tamaris est une essence originaire du bassin méditerranéen appartenant à la famille des Tamaricacées. Celui-ci est remarquable pour son port : un réseau de branches entremêlées
22,48.88007972,2.385709504,19,PARC DES BUTTES CHAUMONT,330,22,M,Marronnier,Parc des Buttes Chaumont,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Originaire d’Asie Mineure et des Balkans
23,48.84717334,2.252866146,16,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,232,11,M,Chêne,Jardin des Serres d'Auteuil,Jardin,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Le chêne
24,48.82334524,2.33968343,14,PARC MONTSOURIS / 28 BOULEVARD JOURDAN,140,5,A,Hêtre,Parc Montsouris,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le hêtre tortillard se caractérise par un port tortueux. Son tronc
25,48.86420036,2.267960367,16,STADE DE LA PORTE DE LA MUETTE / 60 BOULEVARD LANNES,320,15,M,Hêtre,Stade de la porte de la Muette,,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le hêtre appartient à la famille des Fagacées. On admire les hêtres pour leur tronc sinueux couvert d'une douce écorce grise. Leur feuillage fin et brillant tremble sous le vent le plus léger et vire au brun-rouge en automne. C'est une essence forestière sensible à la qualité et la fraîcheur de la terre. Sur sol fertile
26,48.82183889,2.335786146,14,PARC MONTSOURIS / 28 BOULEVARD JOURDAN,267,15,M,Chêne,Parc Montsouris,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le chêne vert est une essence originaire du pourtour méditerranéen appartenant à la famille des Fagacées. Bien adapté au climat urbain parisien
