index,price,adress,arrondissement,m2,rooms,pricem2,lat,long,tree_dist,tree_num,ilot_dist,wrong_num,ilot_num,aire_dist,aire_num
21529,1650000,8 bd andre maurois 75016,16,150,4,11000,48.87809,2.278024,668,5,84,726,727,1015,152
21530,591223,8 bd andre maurois 75016,16,80,2,7390,48.87809,2.278024,668,5,84,726,727,1015,152
21441,140000,6 bd andre maurois 75016,16,10,1,14000,48.878007,2.278688,638,5,46,726,727,959,152
21442,1860000,6 bd andre maurois 75016,16,133,4,13985,48.878007,2.278688,638,5,46,726,727,959,152
21443,883200,6 bd andre maurois 75016,16,75,2,11776,48.878007,2.278688,638,5,46,726,727,959,152
21396,1544000,4 bd andre maurois 75016,16,165,5,9358,48.877971,2.278978,626,5,46,726,727,934,152
20615,220000,23 rue weber 75016,16,24,1,9167,48.875496,2.281241,317,5,113,886,887,794,152
20435,510000,34 bd marbeau 75016,16,57,2,8947,48.874779,2.279399,290,5,165,364,365,782,115
25314,255000,14 rue gustave charpentier 75017,17,32,1,7969,48.881141,2.28135,943,5,180,652,653,781,357
25315,260000,14 rue gustave charpentier 75017,17,36,1,7222,48.881141,2.28135,943,5,180,652,653,781,357
25316,550000,14 rue gustave charpentier 75017,17,82,3,6707,48.881141,2.28135,943,5,180,652,653,781,357
25317,405000,14 rue gustave charpentier 75017,17,61,2,6639,48.881141,2.28135,943,5,180,652,653,781,357
25318,192000,14 rue gustave charpentier 75017,17,30,1,6400,48.881141,2.28135,943,5,180,652,653,781,357
25319,440000,14 rue gustave charpentier 75017,17,69,3,6377,48.881141,2.28135,943,5,180,652,653,781,357
25320,300000,14 rue gustave charpentier 75017,17,51,2,5882,48.881141,2.28135,943,5,180,652,653,781,357
25321,455000,14 rue gustave charpentier 75017,17,82,3,5549,48.881141,2.28135,943,5,180,652,653,781,357
20324,1545000,22 rue marbeau 75016,16,170,5,9088,48.87472,2.280378,246,5,200,886,887,780,115
20338,840000,17 rue marbeau 75016,16,66,3,12727,48.874691,2.280155,249,5,208,886,887,775,115
24924,525000,2 pl blanche lefebvre 75017,17,61,3,8607,48.897388,2.317876,677,106,39,17,18,775,167
20210,1560000,7 vla dupont 75016,16,146,5,10685,48.874467,2.28149,203,5,198,650,651,769,115
20199,2931875,42 rue pergolese 75016,16,240,6,12216,48.874224,2.282456,199,5,182,650,651,767,115
3001,365000,139 bd saint michel 75005,5,20,1,18250,48.841534,2.337876,593,80,89,738,739,766,365
2997,2054871,137 bd saint michel 75005,5,160,6,12843,48.841817,2.338028,582,80,100,738,739,764,365
20405,560500,14 rue weber 75016,16,41,1,13671,48.87509,2.281922,276,5,178,886,887,759,152
20406,1010500,14 rue weber 75016,16,79,3,12791,48.87509,2.281922,276,5,178,886,887,759,152
20407,197500,14 rue weber 75016,16,16,1,12344,48.87509,2.281922,276,5,178,886,887,759,152
20408,197500,14 rue weber 75016,16,16,1,12344,48.87509,2.281922,276,5,178,886,887,759,152
20230,2816000,16 rue marbeau 75016,16,125,4,22528,48.874484,2.28073,211,5,214,650,651,758,115
3016,550000,145 bd saint michel 75005,5,41,3,13415,48.841054,2.337613,615,80,98,738,739,754,116
20314,684000,7 rue weber 75016,16,56,2,12214,48.874699,2.282276,241,5,229,650,651,753,152
20239,900000,40 rue pergolese 75016,16,83,4,10843,48.874318,2.282603,214,5,186,779,780,751,152
20433,2410000,32 bd marbeau 75016,16,220,6,10955,48.874464,2.278927,289,5,156,364,365,748,115
20286,1104061,3 rue weber 75016,16,72,3,15334,48.874534,2.28252,232,5,210,779,780,744,152
20357,1850000,26 rue lalo 75016,16,180,6,10278,48.874422,2.279518,253,5,196,364,365,742,115
20169,1700000,12 rue marbeau 75016,16,170,6,10000,48.874293,2.281014,185,5,187,650,651,742,115
20359,1680000,8 rue weber 75016,16,136,6,12353,48.874799,2.282355,253,5,225,886,887,741,152
20339,940000,6 rue weber 75016,16,84,4,11190,48.874719,2.282473,249,5,229,779,780,737,152
20340,330000,6 rue weber 75016,16,35,1,9429,48.874719,2.282473,249,5,229,779,780,737,152
