arrondissement,size,rooms,price,vue,gardien,calme,refait,ascenseur,terrasse,ancien,charmant,entretenu,magnifique,exclusivité,superbe,lumineux,beau,traversant,standing,hauteur,pierre,recent,pricem2
11,28.16,2,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740.056818
13,93.01,4,449000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4827.43791
18,16,1,79000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4937.5
20,9.68,1,51000,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5268.595041
19,88,4,470000,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5340.909091
13,80.48,4,430000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5342.942346
19,108.58,5,585000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5387.732547
13,82.66,4,449000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5431.889669
18,25,1,140000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5600
13,82.02,5,465000,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5669.348939
19,75.42,3,430000,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5701.405463
15,78.87,2,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5705.59148
19,81,4,464000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5728.395062
19,86.51,4,500000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5779.67865
18,65.95,3,384000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5822.592873
13,50.7,2,305000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6015.779093
17,110.16,4,680000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6172.839506
13,50.09,2,313000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6248.752246
20,50.1,2,320000,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6387.225549
19,76.5,4,498000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6509.803922
15,73.51,3,480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6529.723847
19,72.6,3,475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6542.699725
20,96.81,4,635000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6559.239748
